iter	Passed	Remaining
992	39986	40550
993	40007	40490
994	40028	40430
995	40048	40370
996	40069	40310
997	40089	40249
998	40111	40191
999	40130	40130
1000	40151	40071
1001	40171	40011
1002	40191	39951
1003	40212	39891
1004	40233	39833
1005	40253	39773
1006	40275	39715
1007	40298	39658
1008	40318	39599
1009	40341	39542
1010	40365	39486
1011	40387	39429
1012	40408	39371
1013	40429	39312
1014	40448	39253
1015	40469	39195
1016	40490	39137
1017	40512	39079
1018	40532	39020
1019	40552	38962
1020	40573	38904
1021	40594	38846
1022	40624	38797
1023	40643	38738
1024	40663	38680
1025	40685	38623
1026	40706	38566
1027	40726	38508
1028	40747	38450
1029	40769	38394
1030	40790	38337
1031	40811	38280
1032	40831	38222
1033	40853	38166
1034	40872	38108
1035	40894	38052
1036	40914	37994
1037	40935	37938
1038	40956	37881
1039	40977	37825
1040	40997	37767
1041	41019	37712
1042	41039	37655
1043	41058	37598
1044	41081	37543
1045	41102	37487
1046	41123	37430
1047	41146	37377
1048	41171	37325
1049	41193	37270
1050	41214	37214
1051	41236	37159
1052	41259	37106
1053	41280	37050
1054	41301	36994
1055	41321	36938
1056	41344	36885
1057	41365	36829
1058	41385	36773
1059	41407	36719
1060	41429	36665
1061	41450	36610
1062	41470	36554
1063	41489	36498
1064	41512	36444
1065	41532	36389
1066	41553	36335
1067	41575	36281
1068	41598	36228
1069	41620	36174
1070	41642	36121
1071	41666	36069
1072	41687	36015
1073	41707	35959
1074	41730	35907
1075	41753	35855
1076	41774	35800
1077	41795	35747
1078	41814	35691
1079	41834	35636
1080	41857	35584
1081	41879	35531
1082	41901	35479
1083	41921	35424
1084	41943	35371
1085	41962	35316
1086	41983	35262
1087	42003	35208
1088	42023	35154
1089	42043	35100
1090	42064	35047
1091	42086	34994
1092	42107	34941
1093	42128	34888
1094	42148	34835
1095	42169	34782
1096	42191	34730
1097	42216	34680
1098	42241	34631
1099	42265	34580
1100	42286	34528
1101	42309	34477
1102	42333	34426
1103	42356	34376
1104	42380	34326
1105	42403	34275
1106	42425	34224
1107	42449	34173
1108	42471	34122
1109	42492	34070
1110	42521	34024
1111	42544	33974
1112	42570	33926
1113	42593	33876
1114	42614	33824
1115	42635	33772
1116	42656	33720
1117	42678	33669
1118	42697	33616
1119	42722	33567
1120	42753	33523
1121	42774	33472
1122	42796	33421
1123	42818	33371
1124	42839	33319
1125	42859	33267
1126	42880	33216
1127	42901	33164
1128	42921	33112
1129	42941	33061
1130	42962	33010
1131	42981	32957
1132	43001	32905
1133	43024	32856
1134	43045	32805
1135	43064	32753
1136	43085	32702
1137	43106	32651
1138	43127	32601
1139	43146	32548
1140	43168	32499
1141	43190	32449
1142	43215	32401
1143	43238	32353
1144	43260	32303
1145	43280	32252
1146	43299	32201
1147	43319	32149
1148	43338	32098
1149	43360	32049
1150	43381	31999
1151	43404	31950
1152	43425	31900
1153	43445	31850
1154	43468	31801
1155	43489	31751
1156	43511	31702
1157	43532	31652
1158	43552	31602
1159	43572	31552
1160	43593	31502
1161	43613	31452
1162	43633	31402
1163	43653	31352
1164	43673	31302
1165	43695	31254
1166	43717	31205
1167	43741	31158
1168	43762	31108
1169	43783	31059
1170	43802	31009
1171	43823	30960
1172	43845	30912
1173	43868	30864
1174	43893	30818
1175	43917	30771
1176	43938	30723
1177	43960	30675
1178	43981	30626
1179	44001	30577
1180	44021	30527
1181	44040	30477
1182	44059	30428
1183	44080	30379
1184	44100	30330
1185	44121	30282
1186	44141	30233
1187	44161	30184
1188	44182	30136
1189	44204	30089
1190	44225	30040
